zone,sum,month,year
2,6609,5,2010
3,52211,5,2010
4,10810,5,2010
2,1560,6,2010
3,40379,6,2010
4,10745,6,2010
2,153,7,2010
3,19640,7,2010
4,10312,7,2010
2,58,8,2010
3,6443,8,2010
4,7883,8,2010
2,2423,5,2011
3,40743,5,2011
4,10537,5,2011
2,90,6,2011
3,10727,6,2011
4,8957,6,2011
2,54,7,2011
3,3357,7,2011
4,6449,7,2011
2,43,8,2011
3,2334,8,2011
4,5558,8,2011
2,6432,5,2012
3,50022,5,2012
4,10781,5,2012
2,1372,6,2012
3,36108,6,2012
4,10622,6,2012
2,78,7,2012
3,12879,7,2012
4,9569,7,2012
2,36,8,2012
3,3444,8,2012
4,6171,8,2012
2,6502,5,2013
3,52343,5,2013
4,10813,5,2013
2,586,6,2013
3,32887,6,2013
4,10711,6,2013
2,69,7,2013
3,8207,7,2013
4,8793,7,2013
2,43,8,2013
3,3065,8,2013
4,5827,8,2013
2,5168,5,2014
3,48902,5,2014
4,10802,5,2014
2,602,6,2014
3,31132,6,2014
4,10675,6,2014
2,58,7,2014
3,6865,7,2014
4,8665,7,2014
2,46,8,2014
3,4050,8,2014
4,7107,8,2014
2,4523,5,2015
3,47991,5,2015
4,10777,5,2015
2,473,6,2015
3,29664,6,2015
4,10459,6,2015
2,45,7,2015
3,5986,7,2015
4,7909,7,2015
2,31,8,2015
3,1619,8,2015
4,3818,8,2015
2,5803,5,2016
3,50746,5,2016
4,10808,5,2016
2,287,6,2016
3,20216,6,2016
4,9859,6,2016
2,49,7,2016
3,4312,7,2016
4,7099,7,2016
2,39,8,2016
3,2439,8,2016
4,4824,8,2016
2,3261,5,2017
3,44513,5,2017
4,10792,5,2017
2,192,6,2017
3,17824,6,2017
4,9949,6,2017
2,36,7,2017
3,2900,7,2017
4,6114,7,2017
2,33,8,2017
3,1839,8,2017
4,4944,8,2017
2,3544,5,2018
3,45508,5,2018
4,10773,5,2018
2,414,6,2018
3,25653,6,2018
4,10398,6,2018
2,51,7,2018
3,4525,7,2018
4,7234,7,2018
2,37,8,2018
3,2218,8,2018
4,5364,8,2018
2,6377,5,2019
3,52071,5,2019
4,10807,5,2019
2,921,6,2019
3,36005,6,2019
4,10618,6,2019
2,88,7,2019
3,12394,7,2019
4,9467,7,2019
2,39,8,2019
3,3111,8,2019
4,5519,8,2019
2,4767,5,2020
3,48826,5,2020
4,10773,5,2020
2,350,6,2020
3,28770,6,2020
4,10480,6,2020
2,68,7,2020
3,6945,7,2020
4,8540,7,2020
2,40,8,2020
3,2455,8,2020
4,5878,8,2020
2,4141,5,2021
3,46218,5,2021
4,10773,5,2021
2,241,6,2021
3,21124,6,2021
4,10331,6,2021
2,46,7,2021
3,4908,7,2021
4,8097,7,2021
2,40,8,2021
3,1887,8,2021
4,4930,8,2021
2,460,5,2022
3,29404,5,2022
4,10451,5,2022
2,82,6,2022
3,13013,6,2022
4,9944,6,2022
2,42,7,2022
3,2909,7,2022
4,6474,7,2022
2,34,8,2022
3,1278,8,2022
4,3518,8,2022
